title,content,lignes,link
DÉVIATION NEUFCHEF Rue des écoles - À COMPTER DU LUNDI 6 NOVEMBRE,"En raison de travaux, l'itinéraire de la ligne 44 et de la navette 91 sera dévié comme indiqué sur le plan ci-dessous (cliquez sur le plan pour zoomer).
Arrêts non desservis : ""Eglise"" et ""Conroy""
Arrêts de report : ""Terminal"" et ""Rue d'Hayange""
Durée des travaux : 2 mois
Retard estimé : pas d'impact sur la N91 / Entre 2 à 3 minutes sur la ligne 44",['44'],https://www.citeline.fr/detail-info-trafic?D%C3%89VIATION-NEUFCHEF-Rue-des-%C3%A9coles---%C3%80-COMPTER-DU-LUNDI-6-NOVEMBRE#4Ec4GgeFSIiNTSAxa9v1wA
DÉVIATION TERVILLE Rue de Verdun - À PARTIR DU LUNDI 13 NOVEMBRE,"En raison de travaux de réhabilitation, la rue de Verdun sera fermée à la circulation uniquement dans le sens Terville Église vers Florange Moulin Daspich.
  Les arrêts ""Mairie"" (vers Florange ""Moulin Daspich"") et ""Acacias"" (vers Florange ""Moulin Daspich) ne seront pas desservis. Le report se fait à l'arrêt ""Église"".
Les lignes concernées par cette déviation sont : S20, S21 et D25
Les arrêts ""Fabert"", ""Marcel Paul"", ""Jean Moulin"", ""Normandie"", ""Flandres"" et ""Mairie"" (vers Thionville ""Hélène Boucher"" ne seront pas desservis. Le report se fait à ""Fabert"", ""Marcel Paul"", ""Jean Moulin"", ""Normandie"", ""Flandres"" et ""Mairie"" (vers Thionville ""Beauregard"").
La lignes concernées par cette déviation est la 37
Cliquez pour zoomer !
 ",['S21'],https://www.citeline.fr/detail-info-trafic?D%C3%89VIATION-TERVILLE-Rue-de-Verdun---%C3%80-PARTIR-DU-LUNDI-13-NOVEMBRE-#170879182
DEVIATION VEYMERANGE Stade - À COMPTER DU LUNDI 13 NOVEMBRE 2023,"En raison de travaux, l'arrêt ""Stade"" vers Thionville ne pourra être desservi. 
Arrêt non desservi : Stade (vers Thionville)
Arrêt de report : Poteau provisoire
Cliquez sur le plan ci-dessous pour zoomer",[],https://www.citeline.fr/detail-info-trafic?DEVIATION-VEYMERANGE-Stade----%C3%80-COMPTER-DU-LUNDI-13-NOVEMBRE-2023#87168569
DÉVIATION CATTENOM RUE DES CHÂTEAUX - À PARTIR DU 10 JUILLET,"En raison de travaux, rue des châteaux à Cattenom, la circulation sera interdite.
Les arrêts de la ligne S08 ""De Gaulle"", ""Châteaux"" et ""Victor Hugo"" ne seront pas desservis.
Merci de vous reporter aux poteaux provisoires ""De Gaulle"" et ""RD1"" (arrêt Fluo près du Collège).
  Cliquez pour zoomer :",['S08'],https://www.citeline.fr/detail-info-trafic?D%C3%89VIATION-CATTENOM-RUE-DES-CH%C3%82TEAUX---%C3%80-PARTIR-DU-10-JUILLET#172470355
DÉVIATION HAYANGE Rue de Verdun - À COMPTER DU LUNDI 6 NOVEMBRE,"En raison de travaux rue de Verdun, l'itinéraire de la navette 91 sera modifié comme indiqué sur le plan ci-dessous (cliquez pour zoomer).
Arrêts non desservis : ""Verdun"", ""Paix"", ""Eglise"" et Godron (vers Neufchef) 
Arrêts de report : ""Esplanade"" et ""Godron"" 
Durée des travaux : 3 semaines
Retard estimé : 2 à 5 minutes",[],https://www.citeline.fr/detail-info-trafic?D%C3%89VIATION-HAYANGE-Rue-de-Verdun---%C3%80-COMPTER-DU-LUNDI-6-NOVEMBRE-#rYz5uVPhSFmWmfxXS4iEvA
DÉVIATION NEUFCHEF Rue des écoles - À COMPTER DU LUNDI 6 NOVEMBRE,"En raison de travaux, l'itinéraire de la ligne 44 et de la navette 91 sera dévié comme indiqué sur le plan ci-dessous (cliquez sur le plan pour zoomer).
Arrêts non desservis : ""Eglise"" et ""Conroy""
Arrêts de report : ""Terminal"" et ""Rue d'Hayange""
Durée des travaux : 2 mois
Retard estimé : pas d'impact sur la N91 / Entre 2 à 3 minutes sur la ligne 44",['44'],https://www.citeline.fr/detail-info-trafic?D%C3%89VIATION-NEUFCHEF-Rue-des-%C3%A9coles---%C3%80-COMPTER-DU-LUNDI-6-NOVEMBRE#4Ec4GgeFSIiNTSAxa9v1wA
DÉVIATION NILVANGE Rue de Soissons - À COMPTER DU LUNDI 6 NOVEMBRE,"En raison de travaux, l'itinéraire de la ligne 41 sera modifié comme indiqué sur le plan ci-dessous (cliquez pour zoomer).
Arrêts non desservis : ""Site de la Paix"" et ""Portier Haut""
Arrêt de report : ""Paix""
Les travaux n'occasionneront pas de retard sur la ligne.
Durée des travaux : 6 semaines.",['41'],https://www.citeline.fr/detail-info-trafic?D%C3%89VIATION-NILVANGE-Rue-de-Soissons---%C3%80-COMPTER-DU-LUNDI-6-NOVEMBRE#VfuQUEM9R-OGM0ALVWiWIg
DÉVIATION NILVANGE Rue des Peupliers - À COMPTER DU LUNDI 6 NOVEMBRE,"En raison de travaux, l'itinéraire des lignes 45A et 45B sera modifié comme indiqué sur le plan ci-dessous (cliquez pour zoomer).
Arrêt non desservi : ""Peuplier n°16"" - Peupliers N°13
Arrêt de report : ""Elange 1"" / St Michel 6 
Temps de restard estimé sur la ligne : entre 1 et 3 minutes
Durée des travaux : 2 semaines ",['45'],https://www.citeline.fr/detail-info-trafic?D%C3%89VIATION-NILVANGE-Rue-des-Peupliers---%C3%80-COMPTER-DU-LUNDI-6-NOVEMBRE#3tec_fWzTjybfMV4SpM38Q
DÉVIATION NILVANGE Rue des Peupliers - À COMPTER DU LUNDI 6 NOVEMBRE,"En raison de travaux, l'itinéraire des lignes 45A et 45B sera modifié comme indiqué sur le plan ci-dessous (cliquez pour zoomer).
Arrêt non desservi : ""Peuplier n°16"" - Peupliers N°13
Arrêt de report : ""Elange 1"" / St Michel 6 
Temps de restard estimé sur la ligne : entre 1 et 3 minutes
Durée des travaux : 2 semaines ",['45'],https://www.citeline.fr/detail-info-trafic?D%C3%89VIATION-NILVANGE-Rue-des-Peupliers---%C3%80-COMPTER-DU-LUNDI-6-NOVEMBRE#3tec_fWzTjybfMV4SpM38Q
Découvrez les lignes que votre enfant peut prendre pour se rendre à l'école,"Cliquez sur votre commune de départ pour découvrir quelles lignes votre enfant peut emprunter pour se rendre dans son établissement scolaire.
ALGRANGE
ANGEVILLERS
BASSE-HAM
BERTRANGE
BOULANGE
CATTENOM
ENTRANGE
ESCHERANGE
FAMECK
FLORANGE
FONTOY
GANDRANGE
GUENANGE
HAVANGE
HAYANGE
HETTANGE-GRANDE
ILLANGE
KANFEN
KNUTANGE
KUNTZIG
LOMMERANGE
MANOM
NEUFCHEF
NILVANGE
OTTANGE
RANGUEVAUX
ROCHONVILLERS
SEREMANGE-ERZANGE
STUCKANGE
TERVILLE
THIONVILLE COTE DES ROSES
THIONVILLE ELANGE
THIONVILLE GARCHE
THIONVILLE OEUTRANGE
THIONVILLE VOLKRANGE
TRESSANGE
UCKANGE
VOLMERANGE-LES-MINES
YUTZ
   ",[],https://www.citeline.fr/detail-info-trafic?D%C3%A9couvrez-les-lignes-que-votre-enfant-peut-prendre-pour-se-rendre-%C3%A0-l%27%C3%A9cole#203366107
Nouveaux horaires - À partir de lundi 20 novembre,"Les horaires de la S09 sont mis à jour et seront applicables à partir du 20/11/2023. 
Changement notable : le voyage de 16h13 au départ de Thionville aura pour terminus Guélange afin de garantir une desserte avant 17h00.
Retrouvez les horaires de votre ligne ICI","['s09', 'S09']",https://www.citeline.fr/detail-info-trafic?Nouveaux-horaires---%C3%80-partir-de-lundi-20-novembre-#199387818
